,AwareJan,VoteJan,AwareFeb,VoteFeb,AwareMar,VoteMar,AwareApr,VoteApr,AwareMay,VoteMay
ALCANTARA,17,3.8,16,3.4,16,2.6,15,2.4,18,3.4
ANGARA,89,37.1,92,35.1,93,34.8,95,31.2,89,42.4
AQUINO,78,31.4,89,43.2,91,38.6,93,35.7,92,45.9
BELGICA,13,0.8,11,3.2,11,2,12,1.3,15,2.8
BINAY,88,43.6,92,42.5,95,39.6,95,34.6,94,46.9
CASIŇO,44,5.7,50,7.7,46,7.2,49,6.5,52,10.3
CAYETANO,93,48.9,94,52.8,96,48.7,94,40,94,51.1
COJUANGCO,68,11.8,75,14.4,75,12.7,73,7.3,67,11.3
DAVID,17,3.6,15,2.8,14,2.3,15,1.6,15,2.2
DELOSREYES ,22,2.8,22,4.2,22,3,20,2.1,19,2.9
EJERCITO,94,43.5,96,43.8,96,38.6,95,34.7,95,41.7
ENRILE,93,40.4,93,36.6,96,32.4,95,27.2,94,35.7
ESCUDERO,96,54.3,96,54.9,97,51.5,97,48.3,97,52.7
FALCONE,12,0.5,13,2.5,12,2,13,1.1,14,1.9
GORDON,88,30,91,32.2,92,30.7,90,22.4,88,31.8
HAGEDORN,58,9.3,64,13.3,66,12.7,72,13.7,70,19.8
HONASAN ,95,36.8,95,37.9,94,36.8,95,27.9,94,36.7
HONTIVEROS,71,17.5,79,24.1,84,24.3,86,25.8,84,29.9
LEGARDA,97,58,98,56.7,98,55.3,98,51.5,98,55.8
LLASOS,9,0.5,9,1.6,9,1.7,10,1,9,1.7
MACEDA,82,15.5,86,16.3,85,14.1,84,9.1,76,11.6
MADRIGAL,90,26.8,93,30.6,95,27.3,95,20.4,89,26.2
MAGSAYSAYM,58,9.9,69,14.5,66,13,69,11,68,13.5
MAGSAYSAYR,79,23.8,85,27,90,28.2,91,25.6,89,33.3
MONTAŇO,20,3.6,20,4,19,2.9,20,2.1,20,2.4
PENSON,15,1.2,12,2.4,11,2,11,1.1,16,1.6
PIMENTEL,91,40.7,93,40.1,95,41.7,95,32.7,92,39.6
POE,81,30.9,92,42.1,93,42.1,95,42.4,94,49.9
SEŇERES,16,1.3,13,2.3,15,1,14,0.7,16,1.6
TRILLANES,90,41.1,91,36.1,93,37.7,93,35.8,90,37.7
VILLANUEVA,85,9.2,87,12.7,88,10.2,87,10.8,85,16.4
VILLAR,93,39.1,96,44,96,40.8,98,37.7,95,46.6
ZUBIRI,93,37.6,93,33.2,94,32.5,94,29.7,92,32.1